datetime_AEST,month,date,day,hour,season,CO,DBT,NO2,O3,PM10,PM2.5,SO2
2022-07-18 16:00:00,7,2022-07-18,18,16,winter,0.108174881457273,10.2315,7.119324774895906,20.390961223497243,13.436355478951647,3.555795866711776,0.4464636431000716
2022-07-18 17:00:00,7,2022-07-18,18,17,winter,0.13903172953707532,9.327,8.229031370331393,20.221100222724324,15.437,5.401741554063764,0.40983485040831624
2022-07-18 18:00:00,7,2022-07-18,18,18,winter,0.14351425559791764,9.251999999999999,9.826277127742845,17.8609966011106,16.0395,3.9684999999999997,0.30284695391090466
2022-07-18 19:00:00,7,2022-07-18,18,19,winter,0.19399857339255222,8.241,9.817867413433703,15.705956912523277,15.603719007289392,6.4655000000000005,0.3680590000905326
2022-07-18 20:00:00,7,2022-07-18,18,20,winter,0.18262609706026112,8.0245,11.539219999609202,13.020455704383835,15.503115435184885,5.646755876739938,0.3337295474945032
2022-07-18 21:00:00,7,2022-07-18,18,21,winter,0.1931320778913419,8.224,11.233673827292534,14.307956000789261,14.0795,6.305485056841651,0.19915858770991335
2022-07-18 22:00:00,7,2022-07-18,18,22,winter,0.21466309560834507,8.220500000000001,12.11732600365832,13.0355837808229,16.81997971366486,7.619301443634257,0.35339953397100976
2022-07-18 23:00:00,7,2022-07-18,18,23,winter,0.19725968480563472,7.695,10.026403397139234,14.794741759992121,14.664917214664698,6.05043942494116,0.099
2022-07-19 00:00:00,7,2022-07-19,19,0,winter,0.19254052520005194,7.0969999999999995,8.950098162015532,13.459859688515678,13.718736481585868,5.733347687134911,0.23186970213779629
2022-07-19 01:00:00,7,2022-07-19,19,1,winter,0.2107985278987865,6.962,11.91906240750177,9.606753184724312,13.221162517112916,5.7389748893720025,0.12257161238875369
2022-07-19 02:00:00,7,2022-07-19,19,2,winter,0.1617629347548813,7.478,10.11122856670329,14.20053686294412,13.772705594825148,5.403633840212727,0.1703323086080637
2022-07-19 03:00:00,7,2022-07-19,19,3,winter,0.1793643918965195,7.3935,11.080106724094605,12.226302356653889,14.262,5.793183554239105,0.17106299593176288
2022-07-19 04:00:00,7,2022-07-19,19,4,winter,0.20229142245463796,6.774,12.282683761901723,10.0742171848958,14.2485,6.0415,0.1834284516913236
2022-07-19 05:00:00,7,2022-07-19,19,5,winter,0.26410806842970347,7.1395,13.3855,6.4117914927975335,19.109,8.529063533874726,0.19852249599082233
2022-07-19 06:00:00,7,2022-07-19,19,6,winter,0.3184604364883944,6.0555,14.430204064777675,0.988,22.01687911773169,9.909520434772475,0.22299999999999998
2022-07-19 07:00:00,7,2022-07-19,19,7,winter,0.32536568392247567,5.7155000000000005,15.809964680949156,0.5965,21.909748797871313,9.171769319080772,0.46928538971961586
2022-07-19 08:00:00,7,2022-07-19,19,8,winter,0.3052622906256235,7.2995,15.940406043301294,2.468,23.006999999999998,11.204,0.3915533180911126
2022-07-19 09:00:00,7,2022-07-19,19,9,winter,0.25495599104627775,9.68,12.520403338925664,11.223372994062544,18.451350403839058,8.979740101597969,0.41905530611924746
2022-07-19 10:00:00,7,2022-07-19,19,10,winter,0.2193352952146732,11.100000000000001,10.659426917888794,12.121652471310506,19.855174404807904,7.527952485564436,0.5078208177154977
2022-07-19 11:00:00,7,2022-07-19,19,11,winter,0.1595504762391205,12.0745,9.561868674935965,15.902792191426359,14.983157867170611,6.093302887159275,0.2882730178842097
2022-07-19 12:00:00,7,2022-07-19,19,12,winter,0.12434669060674652,12.126000000000001,6.448598574526562,17.583834824462656,11.853797883133097,4.356610690745541,0.13849752563417184
2022-07-19 13:00:00,7,2022-07-19,19,13,winter,0.10717503882035118,12.279499999999999,6.408381301405223,18.038653422500147,9.803545368612323,3.4790403231656275,0.08607660147477313
2022-07-19 14:00:00,7,2022-07-19,19,14,winter,0.11856895134469037,12.74,7.1583527303192245,19.037345789236213,13.251721679164026,3.2507517922171916,0.1511384429001268
2022-07-19 15:00:00,7,2022-07-19,19,15,winter,0.1238239161466157,12.4215,7.533374627952298,17.781485481346095,11.852,3.5655,0.14230862690033624
2022-07-19 16:00:00,7,2022-07-19,19,16,winter,0.11851333405361153,11.7575,6.668449548238669,18.57737720898523,11.716557253881298,3.554179943750527,0.24486246799796874
2022-07-19 17:00:00,7,2022-07-19,19,17,winter,0.14240093682986354,10.358,9.5055,16.3325,12.463849448209825,3.5623464993451863,0.17153332057004889
2022-07-19 18:00:00,7,2022-07-19,19,18,winter,0.20891425553188345,9.3615,11.234263302116842,13.039525109455639,15.668,5.05,0.18832164914815264
2022-07-19 19:00:00,7,2022-07-19,19,19,winter,0.24663175334561305,8.7745,13.596688571540113,8.523779751812103,19.097,7.031000000000001,0.24649809233124387
2022-07-19 20:00:00,7,2022-07-19,19,20,winter,0.21180544354129982,8.1805,10.59663938633426,12.074237910918868,15.206841207960604,5.13090918529595,0.21266468584750342
2022-07-19 21:00:00,7,2022-07-19,19,21,winter,0.2206389288583197,7.4885,10.336568302167478,12.48180400332311,15.5115,5.989470185412993,0.22673617426429615
2022-07-19 22:00:00,7,2022-07-19,19,22,winter,0.21516162190865223,6.789,9.99784694244235,13.470137780243133,14.438038315099055,4.498337758144108,0.11493315183275143
2022-07-19 23:00:00,7,2022-07-19,19,23,winter,0.2024597458717925,6.964,9.821292381686703,11.697,15.392,7.372,0.157
2022-07-20 00:00:00,7,2022-07-20,20,0,winter,0.19286136929785558,5.319,10.180217577672977,11.081,12.861,5.4161631938860495,0.202
2022-07-20 01:00:00,7,2022-07-20,20,1,winter,0.2309786019840243,2.856,13.025661364149357,5.54880016978359,13.729,5.859,0.10130691313417373
2022-07-20 02:00:00,7,2022-07-20,20,2,winter,0.254044497984135,3.5955000000000004,13.623005539752322,5.70411915103395,16.224373810353217,7.318,0.1172840930202442
2022-07-20 03:00:00,7,2022-07-20,20,3,winter,0.24899845606209414,5.630205825551943,14.045739189147753,3.202569154149374,15.268,7.970850299894917,0.1393062962830236
2022-07-20 04:00:00,7,2022-07-20,20,4,winter,0.25495817559910683,5.047242569357427,13.263795631812854,2.4078206613404847,15.440645776720878,7.300658672236253,0.14960765768449696
2022-07-20 05:00:00,7,2022-07-20,20,5,winter,0.31328909298966456,8.706755879060468,14.582298373572229,3.9859590855391787,21.478712460001724,9.455468012648524,0.31568994112043586
2022-07-20 06:00:00,7,2022-07-20,20,6,winter,0.3300466234289785,10.058360087066243,15.678593336675249,1.5879999999999999,21.61573639675185,10.942067012573343,0.3938206144506182
2022-07-20 07:00:00,7,2022-07-20,20,7,winter,0.360459997101531,9.432284365009712,16.591582367492748,0.5640000000000001,24.14840478843702,12.266,0.44703901579433136
2022-07-20 08:00:00,7,2022-07-20,20,8,winter,0.37818644065581974,2.463,16.238174833557764,1.2850000000000001,29.8585,11.1355,0.7945460044654453
2022-07-20 09:00:00,7,2022-07-20,20,9,winter,0.3483826879588406,5.5545,15.917467413411309,3.347,29.77610057622657,12.7225,0.5975939536876425
2022-07-20 10:00:00,7,2022-07-20,20,10,winter,0.314600131467748,9.0795,15.12851476389406,6.5676355108289215,17.937794256530857,9.8415,0.19046546494150363
2022-07-20 11:00:00,7,2022-07-20,20,11,winter,0.25380205493412367,11.408000000000001,14.4595005391229,10.696602280238723,16.18813553014641,7.395293183508767,0.23463209013139874
2022-07-20 12:00:00,7,2022-07-20,20,12,winter,0.19435890893025445,12.663,11.400228065015398,12.53794972917379,17.30407997765798,6.606,0.4608018751347487
2022-07-20 13:00:00,7,2022-07-20,20,13,winter,0.23314916838408212,13.2805,13.109182516683774,12.197872919694696,18.829,7.8707809722348845,0.39998916397753703
2022-07-20 14:00:00,7,2022-07-20,20,14,winter,0.21033681026440038,13.5625,11.063335518017254,12.676710046634469,16.091,8.145445396519005,0.29378204794210916
2022-07-20 15:00:00,7,2022-07-20,20,15,winter,0.2123694607129032,12.843,9.53271277911756,13.070694444530147,15.702601318265422,6.576303357007319,0.3066518671610581
2022-07-20 16:00:00,7,2022-07-20,20,16,winter,0.2164752603212854,12.03,10.686792200414857,12.170411024164196,16.784823640958862,6.534963997234826,0.285
2022-07-20 17:00:00,7,2022-07-20,20,17,winter,0.26155022369356473,9.533,13.434627707481752,8.538897157341239,21.905161065168528,9.317,0.27755423698446435
2022-07-20 18:00:00,7,2022-07-20,20,18,winter,0.3252212087981712,7.724,17.015950241940516,2.8096016225296694,27.104,9.504,0.33943204923716763
2022-07-20 19:00:00,7,2022-07-20,20,19,winter,0.3206793632387912,6.413,15.412,5.978531042088036,26.688,11.197,0.4760165425461267
2022-07-20 20:00:00,7,2022-07-20,20,20,winter,0.3982570050398939,5.901,19.987606750948487,1.829,30.606515293164748,15.375,0.6
2022-07-20 21:00:00,7,2022-07-20,20,21,winter,0.412817133472823,6.149,19.07648993472114,1.1755,34.537,15.841000000000001,0.976352982256249
2022-07-20 22:00:00,7,2022-07-20,20,22,winter,0.41492324520061685,5.907,18.635782823673054,0.8,26.7215,15.64176211301561,0.5221449978540394
2022-07-20 23:00:00,7,2022-07-20,20,23,winter,0.3351376054804267,3.754,18.037707089141634,0.7594302325049398,24.676,11.310305130653276,0.598
2022-07-21 00:00:00,7,2022-07-21,21,0,winter,0.32238347121533906,3.207,17.10285180761332,1.430373923269599,20.491814768724424,12.813,0.234
2022-07-21 01:00:00,7,2022-07-21,21,1,winter,0.304196416305492,2.564,15.962101318324528,3.417273011128998,16.3445,8.922784850336821,0.19511503862144153
2022-07-21 02:00:00,7,2022-07-21,21,2,winter,0.32385200089195765,2.484,16.972032246385425,2.015,18.910676018374758,10.292737985883306,0.12657216646945102
2022-07-21 03:00:00,7,2022-07-21,21,3,winter,0.31493726027433455,1.614,15.368,2.061,18.241756891101303,9.15244165838024,0.13128111002549048
2022-07-21 04:00:00,7,2022-07-21,21,4,winter,0.32462474366275496,6.386,14.789,1.4122409228438073,20.55334859697038,9.590449186567241,0.2075755734639415
2022-07-21 05:00:00,7,2022-07-21,21,5,winter,0.3233487422843835,8.69533268817219,14.552,3.108,21.119949210433433,9.585377864252123,0.20479863893354633
2022-07-21 06:00:00,7,2022-07-21,21,6,winter,0.3220150925636083,8.756136365820439,16.017945042671556,1.061,20.592,9.552183754553525,0.308
2022-07-21 07:00:00,7,2022-07-21,21,7,winter,0.32107968546778487,8.655732049661331,15.476308309827402,0.2,24.371,11.179,0.7436418946697998
2022-07-21 08:00:00,7,2022-07-21,21,8,winter,0.3269395705595164,2.404,15.55,0.967,27.319071429570187,12.566,0.8271045816952451
2022-07-21 09:00:00,7,2022-07-21,21,9,winter,0.3097971519755096,5.867,15.107916215795228,2.296,22.832,9.383,0.603612467130354
2022-07-21 10:00:00,7,2022-07-21,21,10,winter,0.27488561089961516,9.165,12.726569540437538,6.451,19.261646747841993,7.88,0.15783982724012446
2022-07-21 11:00:00,7,2022-07-21,21,11,winter,0.2269997318106216,11.442,11.375030640731495,11.556,14.92740410596177,6.963705050123721,0.2507703367795244
2022-07-21 12:00:00,7,2022-07-21,21,12,winter,0.2563829872269112,13.621,11.730005235965393,12.317090677191857,16.892085816340753,7.629391421786991,0.2905929532690692
2022-07-21 13:00:00,7,2022-07-21,21,13,winter,0.2527920209601038,14.8,11.533072098437799,10.422878738841746,18.66679451891676,9.728,0.438
2022-07-21 14:00:00,7,2022-07-21,21,14,winter,0.2901982872113362,15.243297292018312,14.533586433579273,10.116616866100173,18.418846382885818,9.153151457281652,0.30344064220913225
2022-07-21 15:00:00,7,2022-07-21,21,15,winter,0.2674824339988495,14.838252356880524,12.193380559816603,11.765,18.64403316229857,8.70634386573387,0.3326892660551195
2022-07-21 16:00:00,7,2022-07-21,21,16,winter,0.30857669490425943,13.844,16.413212447369347,8.841,20.796,9.81537672210112,0.327
2022-07-21 17:00:00,7,2022-07-21,21,17,winter,0.31741333919876347,11.633,15.410427672413732,6.657720675021096,20.544,9.317500257986595,0.3970076333594008
2022-07-21 18:00:00,7,2022-07-21,21,18,winter,0.32332813976755537,10.705,15.629035876762714,9.285,20.517750514514063,9.408,0.30186779733472946
